segment_id,quality,param,p12.5,p25,p50,p75,p87.5
segALL,CLEAN,Oq,0.32233214223311485,0.40762687425746347,0.4999828277005763,0.5970168820078723,0.7643188854489165
segALL,CLEAN,Rq,30.843740271960733,36.00305723664579,47.833009432066646,71.68036455720167,95.66609745911448
segALL,CLEAN,alpha_m,0.35699337226973,0.42860367417109063,0.5854408779244268,0.7507407135731106,0.8604220437216188
segALL,CLEAN,T0,0.0008163265306122,0.000907029478458,0.0009977324263038,0.0010884353741496,0.0012244897959183
segALL,CLEAN,Tp,0.0002721088435374,0.0003865622792956,0.0005635339146688,0.0007277941596628,0.0009310892379955
segALL,CLEAN,Te,0.0004761904761904,0.00070294784696395,0.0009990964714930999,0.0012455932644762002,0.0015442968678369376
segALL,CLEAN,Tc,0.001014034139590275,0.00119164272757645,0.0014772981715375,0.0018140565817123498,0.002109998437080875
segALL,CLEAN,Ta,0.03182594190009332,0.036885967492251454,0.0467739081152923,0.068134372911529,0.09169836428729197
segALL,CLEAN,pv_cents_T0,82.45530010081754,260.1736668877781,1698.044999134613,2911.517705642518,3504.678639006714
segALL,CLEAN,vibrato_cents_from_T0,38.94343985814254,47.69438699493821,76.35141999772166,92.52279303948092,106.23680732771196
segALL,CLEAN,f0_hz,219.3649959389252,243.40070273411817,256.3888163841458,312.35441469062573,321.1850506919106
segALL,CLEAN,spec_bandwidth_hz,4920.88399805245,5190.45588296534,5616.866533755954,6151.005521005609,6643.669742230286
segALL,CLEAN,spec_centroid_hz,2602.3298213299427,2825.706799737708,3247.731260769112,3925.632072021848,4676.094042091858
segALL,CLEAN,spec_rolloff_hz,16214.3915534019,16680.041813850406,17375.19207000734,18038.999319076524,18610.244286060362
segALL,CLEAN,vibrato_cents_abs,12.458378442069437,15.271157768609982,22.42214284169571,41.43397055253087,60.669862807637934
segALL,CLEAN,zcr,0.02406919002532949,0.028084039688110626,0.034327030181885154,0.0427677631378172,0.05201637744903545
segALL,CLEAN,rms_dbfs,-32.6349226655439,-31.350190805271403,-29.112632676959045,-27.371275397017605,-26.130950897000723
segALL,CLEAN,time_s,8.9931179138322,11.42496598639456,21.96658163265306,32.831794217687076,47.96748441043084
segALL,CLEAN,F1_hz,373.61001691726955,423.30256106067816,504.393300815084,582.7295598231642,649.4314873382739
segALL,CLEAN,F2_hz,921.558731926712,953.3899075899294,992.3331532244317,1052.8481563400378,1183.2308646113088
segALL,CLEAN,spec_flatness,0.0007811942613739875,0.0010000167113018,0.0015391626204314,0.0027913234326671,0.004735958015364875
segALL,CLEAN,H1H2,-1.2793149336341414,1.7222966672623434,5.747064095982769,10.076752202424657,13.574707477783601
segALL,CLEAN,HNR,18.07807941375845,20.032652777100157,21.52447901006703,22.66099401335874,23.395825557308875
segALL,CLEAN,CPP,1487.1039702141043,1680.2174868120865,1881.9413639117358,2056.9948861774787,2159.3582015314228
segALL,CLEAN,spectral_flatness_l,0.0007811942613739875,0.0010000167113018,0.0015391626204314,0.0027913234326671,0.004735958015364875
segALL,CLEAN,mfcc_1,-2255.2006268041673,-2114.7767842607764,-2046.2379965624937,-1991.7929594212642,-1925.708448006062
segALL,CLEAN,mfcc_2,23.582946868763262,44.11587582424003,63.29519877948876,81.15558635491195,93.768297520491
segALL,CLEAN,mfcc_3,51.12033527484512,60.431165121621184,72.36873099334065,83.27560862822035,90.06998170124845
segALL,CLEAN,mfcc_4,107.43658084354247,113.60674994000921,121.8686345875049,130.67114815083377,138.79025232289803
segALL,CLEAN,mfcc_5,2.5747948521473845,10.245728092641597,18.877486329060943,27.602739687803727,33.510171407003206
segALL,SUSPECT,Oq,0.26502296877417864,0.3589713387589205,0.4736456375533259,0.5978989039516751,0.7627531838098641
segALL,SUSPECT,Rq,21.719309489186962,28.558771381093603,44.027062718108375,65.4371904399001,88.01441367329953
segALL,SUSPECT,alpha_m,0.35,0.4224519134014123,0.6003612898506431,0.7698836915394792,0.8697688511550951
segALL,SUSPECT,T0,0.0007709750566893,0.000907029478458,0.0011791383219954,0.0016780045351473,0.0019274376417233
segALL,SUSPECT,Tp,0.0002721088435374,0.000391395657514325,0.00058167287030605,0.00074393739979305,0.0010205077652678874
segALL,SUSPECT,Te,0.0004761904761904,0.0007255299874187,0.0010217571109071,0.0013605346200415,0.0016553287981859
segALL,SUSPECT,Tc,0.001009613990007925,0.0012049914842655,0.0015303559032569499,0.00189230627546385,0.0023809507119739626
segALL,SUSPECT,Ta,0.030079535679981673,0.0357916493586821,0.046928008249814246,0.06870520712341766,0.08958235707469171
segALL,SUSPECT,pv_cents_T0,167.9404336269947,547.1102242334133,1953.6374671356505,3137.65181293825,3745.218481153639
segALL,SUSPECT,vibrato_cents_from_T0,46.46003166059222,56.369502248251344,72.13807565529956,97.11094690163652,108.64061400805753
segALL,SUSPECT,f0_hz,193.53699154926636,203.3042211985397,246.2288826689832,296.2195104573129,319.31935454265994
segALL,SUSPECT,spec_bandwidth_hz,4983.068333290508,5321.839815822755,5774.178859815927,6301.113008113318,6775.658232825788
segALL,SUSPECT,spec_centroid_hz,2611.595830287638,2900.8294691427363,3409.5152497324707,4112.025287661828,4972.923032873001
segALL,SUSPECT,spec_rolloff_hz,16293.48506927491,16843.054890632622,17550.359630584717,18216.458988189708,18727.946162223816
segALL,SUSPECT,vibrato_cents_abs,12.66842664125769,15.539217691104788,25.74012764094037,46.434148090515436,67.44421083476763
segALL,SUSPECT,zcr,0.021676778793335214,0.026324748992919526,0.034219741821290395,0.043831825256347774,0.05325198173523068
segALL,SUSPECT,rms_dbfs,-33.28853879868977,-31.885426269844174,-29.743730204179887,-27.594497570768127,-26.05534351896494
segALL,SUSPECT,time_s,9.511089852607709,12.937157029478458,23.386439909297053,32.499458616780046,46.29309098639456
segALL,SUSPECT,F1_hz,361.0378264769994,414.5105536427221,497.9901207055408,584.1028049461445,657.0408216615077
segALL,SUSPECT,F2_hz,913.0328972583476,946.0065567587558,986.6456355663336,1074.43284966477,1184.4938334205797
segALL,SUSPECT,spec_flatness,0.0008113858327047875,0.00113193942693625,0.00182756511683815,0.0032829337949719503,0.0054518898956478256
segALL,SUSPECT,H1H2,-3.479861526889649,0.4995461632328753,5.840127322699345,10.761032398485925,13.78950066822468
segALL,SUSPECT,HNR,17.611202759959856,19.64227888441801,21.469027159990738,22.868152596813708,23.733835030511045
segALL,SUSPECT,CPP,1443.8688952976609,1658.97986054487,1894.469489210127,2081.822467885014,2186.1581982848897
segALL,SUSPECT,spectral_flatness_l,0.0008113858327047875,0.00113193942693625,0.00182756511683815,0.0032829337949719503,0.0054518898956478256
segALL,SUSPECT,mfcc_1,-2260.2923962119444,-2138.971312300574,-2055.837246037106,-1981.2038814587927,-1899.474144725748
segALL,SUSPECT,mfcc_2,18.468567964334348,39.795390688669514,59.249309824971974,80.13050401221138,92.65045473838701
segALL,SUSPECT,mfcc_3,46.503740887135024,57.744591778634295,69.84854363977777,82.89713587787865,90.39971442449239
segALL,SUSPECT,mfcc_4,107.89512507194436,113.9948342443692,123.02431513170164,132.41572260664987,140.41965299086874
segALL,SUSPECT,mfcc_5,0.43057472582014306,9.354031764849022,19.131895924200904,27.442819934533645,33.388274443374186
segALL,ALL,Oq,0.2883797246938685,0.38860371274757466,0.4891077644135367,0.597200059068925,0.7631578947368421
segALL,ALL,Rq,25.767697188638945,32.900293267851744,45.83866550890676,68.75272434283008,92.30289001763896
segALL,ALL,alpha_m,0.3522562465332944,0.42597539644474286,0.5934396341309891,0.761904761904762,0.8668435184878721
segALL,ALL,T0,0.0007936507936507,0.000907029478458,0.0010430839002267,0.0013151927437641,0.0016780045351473
segALL,ALL,Tp,0.0002721088435374,0.00038923231031835,0.0005713394536472,0.00072786510038015,0.00097984862283555
segALL,ALL,Te,0.0004761904761904,0.0007230087840187,0.0010195191454318,0.0013064120999454,0.0016099673309856
segALL,ALL,Tc,0.0010134725478435625,0.00120075035494015,0.001509693327524,0.0018547531130455501,0.002237099006157087
segALL,ALL,Ta,0.030995268732113276,0.036320235319073246,0.0467742213066465,0.06842318517468755,0.09045011727031108
segALL,ALL,pv_cents_T0,116.7566416258974,376.9303085136757,1817.48780739571,3028.274347268415,3635.696812072863
segALL,ALL,vibrato_cents_from_T0,42.442589441048824,51.30464569838021,74.1877606745188,95.3666620527876,107.22168023542213
segALL,ALL,f0_hz,201.15858821357068,219.3649959389252,254.66264857877405,306.66566893392013,321.1691527453505
segALL,ALL,spec_bandwidth_hz,4943.187510134026,5252.010915144955,5692.398028374692,6240.007960903332,6712.506867785751
segALL,ALL,spec_centroid_hz,2604.9549470921124,2857.3480078853727,3321.437854089704,4019.686890155617,4835.098545910609
segALL,ALL,spec_rolloff_hz,16243.652737140677,16755.35545349125,17467.570352554176,18133.13348293303,18683.008217811577
segALL,ALL,vibrato_cents_abs,12.595338600258163,15.366404422740548,24.01691329085816,43.983671373758675,64.05969379787088
segALL,ALL,zcr,0.022829055786132587,0.02732491493225015,0.03428459167480495,0.04323959350586382,0.05253326892852754
segALL,ALL,rms_dbfs,-32.93679894693186,-31.634546785615374,-29.414157589897414,-27.473132458515078,-26.084920891560607
segALL,ALL,time_s,9.216135204081635,12.150025510204081,22.74438775510204,32.73046485260771,46.95324971655329
segALL,ALL,F1_hz,366.2815848932658,417.7630212516742,501.42350770294,583.6474604768777,653.3106146062538
segALL,ALL,F2_hz,917.1797026674494,949.3434670109659,990.0161097400892,1066.07213179668,1183.8911419879933
segALL,ALL,spec_flatness,0.000793193975404125,0.0010430554452934,0.0016762253290945502,0.0030942765071909,0.005087384804932875
segALL,ALL,H1H2,-2.3738389087233966,1.0952978485400642,5.7949405103599165,10.441194735554902,13.732979410666694
segALL,ALL,HNR,17.857098561679447,19.831913243747312,21.48970044160372,22.775102766801265,23.547851453575603
segALL,ALL,CPP,1461.2905069494107,1668.0029987190076,1887.0990983884649,2067.667004960895,2172.913556443334
segALL,ALL,spectral_flatness_l,0.000793193975404125,0.0010430554452934,0.0016762253290945502,0.0030942765071909,0.005087384804932875
segALL,ALL,mfcc_1,-2258.4407998175143,-2125.246669918144,-2050.716795995917,-1986.9868453690635,-1912.3618553659294
segALL,ALL,mfcc_2,21.31821060477653,41.803188468641764,61.570041649789836,80.75692187769037,93.0943764242586
segALL,ALL,mfcc_3,49.186504656470554,59.07339609570747,71.2362700574769,83.06528682841773,90.33127658346177
segALL,ALL,mfcc_4,107.63641086487263,113.81860500385707,122.4311995738471,131.6160983830464,139.60691257086864
segALL,ALL,mfcc_5,1.4478210158515536,9.720954446556243,19.06029367566804,27.512688623704413,33.418409933740556
