segment_id,quality,param,mean,std,median,IQR,MAD,skew,kurt,p12.5,p12.5_ci_low,p12.5_ci_high,p25,p25_ci_low,p25_ci_high,p50,p50_ci_low,p50_ci_high,p75,p75_ci_low,p75_ci_high,p87.5,p87.5_ci_low,p87.5_ci_high
ALL,CLEAN,Oq,0.5156256248981727,0.1829296361224134,0.5047215839660713,0.15989575129125988,0.08210271779094164,0.5720259980974169,0.5626694239399845,0.3208234822549581,0.30937905135074645,0.33823801259303315,0.4158618256969784,0.4110804203108774,0.4235300814878022,0.5047215839660713,0.5,0.5092283612982812,0.5757575769882383,0.5676577652152688,0.5861024293894441,0.7150230044053112,0.7008149631514159,0.7423992953712075
ALL,CLEAN,Rq,60.99917300913966,38.809428403463514,50.819716718377535,38.4452460905963,16.48097277292275,7.822840920218913,151.74511825199014,31.000247146646135,30.491118322595465,31.76578134937678,37.80596676472217,36.87660241274548,38.575123955807,50.819716718377535,49.67342041837108,51.95084923371355,76.25121285531847,73.3051092437048,78.98808772665008,99.89719871753708,97.68653668423069,102.30467912784766
ALL,CLEAN,alpha_m,0.603284067015158,0.17902041849652944,0.5841591423170771,0.29317360597494296,0.14579734451214912,0.10490154716163523,-1.1219857507675473,0.375,0.3654157462881346,0.3841551013317246,0.4568263940250569,0.44974566153201206,0.46543850925348673,0.5841591423170771,0.5787180133471775,0.5987726052368572,0.7499999999999999,0.7391304347826088,0.7590797162697651,0.8623697272751457,0.8477143765233363,0.8697569726071992
ALL,CLEAN,T0,0.000994595815875238,0.00023255762671769842,0.0009523809523809,0.0002721088435375,0.00011337868480730008,1.100396949226136,1.8476359346991726,0.0007709750566893,0.0007709750566893,0.0007709750566893,0.0008390022675736,0.0008390022675736,0.0008616780045351,0.0009523809523809,0.0009523809523809,0.0009523809523809,0.0011111111111111,0.0010884353741496,0.0011111111111111,0.0012471655328798,0.0012244897959183,0.0012698412698412
ALL,CLEAN,Tp,0.0005709787280636602,0.00023964091010903477,0.0005498162564913,0.00033152052192910006,0.00016827972247310003,0.6331309335041465,0.14478821741711423,0.0002721088435374,0.00026982870112071,0.00029068527849250873,0.00039607631110175003,0.0003854875283446,0.0004072121628001563,0.0005498162564913,0.0005412127886284,0.000556763513021065,0.0007275968330308501,0.0007238598359756175,0.0007277162116298437,0.0008421468916255,0.0008144585908598249,0.0008704991435072099
ALL,CLEAN,Te,0.0009896254965138756,0.00041950224311065995,0.0009973167398012002,0.0005532599341152249,0.0002499271980141998,0.5511362270083239,0.30682055697463984,0.0004761904761904,0.000453514739229,0.0004988662131519,0.000657596371882,0.000634920443535405,0.0006969227985880275,0.0009973167398012002,0.0009759702691709588,0.0010012877319300812,0.001210856305997225,0.001201744520015603,0.001225484627931375,0.0014227615168361126,0.0013894271049437845,0.0014483325232288124
ALL,CLEAN,Tc,0.0014835825789944526,0.0004612815979898611,0.0014381572924542,0.0005474817329267499,0.0002697780624523001,0.4349897468865046,0.5282443041338709,0.0010182038556518,0.0009966380668987125,0.001040244105143961,0.0012039100492562001,0.001188188153546814,0.00122295010099495,0.0014381572924542,0.0014173304008520376,0.0014512443599471,0.00175139178218295,0.0017410417149251176,0.0017791725611401,0.001991809928057175,0.0019715253327054327,0.0020189060024735236
ALL,CLEAN,Ta,0.0555225307085162,0.025415138624707206,0.04670351219086385,0.031802034519589246,0.011644120465002798,1.0427407263064905,0.0577382402778448,0.032432085788548184,0.03178109614033161,0.03313274551738805,0.037959876201514746,0.037389089681451784,0.038410020392171805,0.04670351219086385,0.04558940134243419,0.04677404066892947,0.06976191072110399,0.06696994032430176,0.0726305727814611,0.09323084151379855,0.09129507870778508,0.095219491841667
ALL,CLEAN,pv_cents_T0,1679.1385154581733,1423.1547296011129,1609.2443014020805,2871.1869666887997,1427.3733586364556,0.11766948654958734,-1.6727105900511257,76.95640490365868,70.67242686428234,86.57974290700211,189.04953238377598,177.71836678696036,203.91000173077487,1609.2443014020805,1403.9100017307749,1874.2546651297384,3060.2364990725755,3028.274347268415,3101.955000865388,3449.3629414993693,3417.59628786594,3465.030324889905
ALL,CLEAN,vibrato_cents_from_T0,73.11172957318263,24.934048985875908,73.84932795547337,43.21484642820231,21.531975535217605,-0.1030888291878083,-0.9685621392451931,41.11440212112743,39.5921993786637,43.5787116109852,50.66962442407977,47.40466780819994,55.18965657264209,73.84932795547337,70.47493035327976,77.60251847013959,93.88447085228208,89.9192912118951,97.49727446778263,104.84503098530107,101.31104280854782,108.39657287819887
ALL,CLEAN,f0_hz,462.84747421757567,99.88784771888763,448.9848193237491,122.35025426899159,62.541087156632614,0.06690147255939603,-0.36859239744610584,338.3070714525794,332.4951584571151,347.0527008206442,394.5649388273728,393.12823941810046,395.4056081411584,448.9848193237491,446.3988570520892,483.997635687717,516.9151930963644,515.7481233758316,518.7358218604038,572.2583729741033,565.685424949238,578.9076949761512
ALL,CLEAN,spec_bandwidth_hz,5872.090821315905,967.1631744000262,6087.829436158424,1412.2968850526731,618.4456029631692,-0.5893258841081379,-0.7558289737604476,4391.586075687856,4328.953316691764,4454.356717356592,5223.81189915542,5094.327540288373,5323.693352441424,6087.829436158424,6043.616304236371,6132.093057526255,6636.108784208093,6607.238045770504,6658.239455393517,6890.712097361822,6860.319883422438,6921.347791090858
