base,egg,audio,cluster,weight,mu_x,mu_y,cov_xx,cov_xy,cov_yy
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,f0_hz,0,0.3437436718829579,418.05223203149023,0.49753219110015723,739.3579001914438,0.9397832169221126,0.03269713899983076
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,f0_hz,1,0.32813841480113504,511.4892079784902,0.5135260505549747,192.97965351364311,0.05027382097336363,0.024837451047439715
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,f0_hz,2,0.16183170953267337,311.2837451303349,0.5033670309703211,1155.8109582518648,-0.11654055782187801,0.04572750229348602
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,f0_hz,3,0.1662862037832336,614.759603621461,0.5691013996584059,2380.4451575528337,0.9809775027365958,0.036447498012761315
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,0,0.30730909535868717,6734.954483984251,0.49395273417605534,101456.6989523612,3.893680093834997,0.04208383899087663
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,1,0.30428934644664424,5861.961175623626,0.4793146422129298,423305.46265965427,-8.6535844563261,0.004414679721560653
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,2,0.20610442700697376,5987.967686362007,0.5795229252616199,314383.8681090544,-14.931083278539496,0.06206197641941718
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,3,0.1822971311876948,4271.542783871364,0.5405289523585229,88455.98200261919,-5.904309861113362,0.026861724141679102
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_centroid_hz,0,0.2752531191975036,4741.58521742782,0.4294612244921691,368445.18101714726,4.032290716947346,0.019792045317586746
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_centroid_hz,1,0.18465949165569198,2202.310781985556,0.5282362380174462,41296.73325804614,-4.603522786311758,0.023162782597161032
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_centroid_hz,2,0.30633581069182,3447.827974575547,0.4687699485312649,263808.90334116516,-8.883664881222007,0.009720373084862548
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_centroid_hz,3,0.2337515784549845,4629.611053488451,0.6685312112864029,1244328.2342166845,-111.12810870481222,0.05369327979747941
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_rolloff_hz,0,0.39684827316424803,18667.04380216802,0.5146429970081294,168560.30873655115,-4.480625444962381,0.04258980073990794
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_rolloff_hz,1,0.21525364463454305,14983.065041014448,0.5330204245287521,1501575.84526408,-29.20149532250173,0.024259652120660086
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_rolloff_hz,2,0.387898082201209,17521.513735734952,0.5069781476592862,281142.00201694574,-20.74273888864498,0.02899231491950498
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,vibrato_cents_abs,0,0.06547269020114131,91.76659236426897,0.5233893850568738,170.6600724077019,-0.54626451776628,0.04628282054988003
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,vibrato_cents_abs,1,0.22929970343439787,29.582404268949997,0.5074328108512193,47.40306346239257,-0.016451947690661523,0.03508527157426338
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,vibrato_cents_abs,2,0.12531537901535078,54.35710469821338,0.5183882813880019,103.69943242439341,-0.21695174699117367,0.03630731394737776
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,vibrato_cents_abs,3,0.57991222734911,16.295407267871703,0.5233506500415344,16.109849485449605,-0.015511693030639883,0.03070386442664535
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,zcr,0,0.13553379120742343,0.04267894803784039,0.2556599334795289,0.00015608075370818499,-0.000367056540407357,0.006003490859374532
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,zcr,1,0.2682408999362676,0.05421275552680078,0.5942787127547787,0.00031118710418964876,-0.0014246406714899212,0.026770166293250755
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,zcr,2,0.06410085066349873,0.0459813533060667,0.9453968687507419,0.00025687023474815383,-0.00014508977007288916,0.0006303291465828677
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,zcr,3,0.5321244581928102,0.041244461508270235,0.49041997715402486,7.965565078192186e-05,-4.221490251308777e-05,0.0045713338589765205
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,rms_dbfs,0,0.44653301251766436,-29.792595548593866,0.4720467971141062,10.043429423120768,0.17986341887584026,0.021768401779944165
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,rms_dbfs,1,0.21263625233955002,-20.089059623192064,0.5381946627730647,2.010255416112097,0.013783724143502147,0.024660681288873186
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,rms_dbfs,2,0.34083073514278567,-34.40050768267073,0.5586393208714536,5.844419850579142,0.1625515056465451,0.04962364510948763
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,time_s,0,0.21380352752050924,17.111419009501425,0.5158430473214316,15.55923133213816,-0.13849445561485443,0.03281205685305577
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,time_s,1,0.3687396191856422,57.38749855197829,0.523175892628573,37.436024368770084,-0.09926494528924483,0.029921864613232128
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,time_s,2,0.2918717318793927,35.53016721632067,0.5037876502962847,41.659831414224456,-0.31763586609939676,0.03570259598872487
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,time_s,3,0.125585121414456,5.987414379656725,0.520599156899813,10.033609564178159,-0.02271098660664101,0.039255632823464885
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,F1_hz,0,0.3208442195061104,870.4034733168563,0.4772481143364943,15561.880645539635,-0.9268193424624973,0.03371944849133401
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,F1_hz,1,0.6791557804938896,552.1271501019227,0.5337946404361913,9443.36641790667,-0.06720729336832167,0.03232807787884931
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,F2_hz,0,0.09523662343468191,1549.8094881663735,0.4303021927665515,37073.125792069535,3.46775185510321,0.017039541177307087
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,F2_hz,1,0.6112165566125936,1043.131147395341,0.5136847635782674,7570.752123837221,-2.4161816522032056,0.028430705918949924
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,F2_hz,2,0.046528209104653453,1911.1465773171842,0.6110719320351914,142963.75015251042,-33.81720859311705,0.04814848300245564
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,F2_hz,3,0.24701861084807092,1317.047622348168,0.535452656963147,7217.1442536462955,-2.9290847925440264,0.044588782398947875
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_flatness,0,0.12010000221520455,0.0030952401244239034,0.23874499140288716,6.718254106131013e-06,-4.876819702385298e-05,0.004953067418409919
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_flatness,1,0.16874919029338165,0.004827007166794049,0.6335264581034833,1.7700703085689685e-05,-0.00038551218619732055,0.028020520360165047
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_flatness,2,0.6456424483103395,0.0017722149744335677,0.4928261209867063,3.446189814054519e-06,-2.2822387928401085e-05,0.006463345604317183
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,spec_flatness,3,0.06550835918107434,0.0026847128393980954,0.9442430171590398,1.0142596126741752e-05,-1.78924682595409e-05,0.0006818125537931636
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,H1H2,0,0.22335119052389213,1.249971355669471,0.4950979797166088,11.645271300067801,-0.029687973058701956,0.0036736190788676125
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,H1H2,1,0.20643787484807402,-6.636782337740868,0.4888024000542668,31.625944564171657,0.07470611363410883,0.00421492715273535
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,H1H2,2,0.13972863839432267,15.33747372299073,0.5198040797904154,103.9746780390141,0.029112128756383478,0.048945308088517055
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,H1H2,3,0.43048229623371126,-2.3946637718744026,0.5377829907040794,39.44554921472421,0.20246941406703564,0.05686211221264594
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,HNR,0,0.21434120009307775,17.95260363975661,0.4395668042581861,1.3682453207273166,-0.002053464632452962,0.022304908091396004
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,HNR,1,0.2948868679144501,21.221595392830228,0.5622826975962453,1.0650353336454006,0.0012138662331438845,0.05470075324809999
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,HNR,2,0.15689537738813625,16.61061000942253,0.5797074038229011,2.5111290837466305,0.10183875526941874,0.05546238282101243
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,HNR,3,0.33387655460433585,20.73157342255097,0.49313182015243223,1.1482541846125967,0.009201445969705995,0.0034622407432179114
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,CPP,0,0.285509846662841,1884.5314360422344,0.5515944946846475,28725.152011543472,1.2425669895431433,0.05552010430873196
merged_pre_id1-id2_solo_segALL_CLEAN,Oq,CPP,1,0.3089982477775392,1804.143813021936,0.49479130851205394,61315.91647491074,-3.0078620215944274,0.0027677944282347602
