segment_id,quality,param,mean,std,median,IQR,MAD,skew,kurt,p12.5,p12.5_ci_low,p12.5_ci_high,p25,p25_ci_low,p25_ci_high,p50,p50_ci_low,p50_ci_high,p75,p75_ci_low,p75_ci_high,p87.5,p87.5_ci_low,p87.5_ci_high
ALL,CLEAN,Oq,0.5209169204553697,0.1937585039769464,0.4999828277005763,0.18939000775040882,0.09475406570952,0.6132179896627395,0.2774486752233867,0.32233214223311485,0.3070161464154546,0.3339020999261096,0.40762687425746347,0.3999999999999999,0.4138687414808559,0.4999828277005763,0.4941564857925843,0.5056110422411779,0.5970168820078723,0.5814913642743518,0.6114011505601695,0.7643188854489165,0.7368421052631579,0.7942782331395238
ALL,CLEAN,Rq,57.69041532135181,30.011964223673516,47.833009432066646,35.67730732055588,14.697778479243098,1.3637236126746488,1.774003930314331,30.843740271960733,30.249600687902202,31.42270374476941,36.00305723664579,35.26636962029341,36.63190722356485,47.833009432066646,46.538481124706,48.888369354636424,71.68036455720167,69.63951433877223,74.66602651020703,95.66609745911448,93.55418924732714,98.82305199609263
ALL,CLEAN,alpha_m,0.59519199861981,0.18648720610808497,0.5854408779244268,0.32213703940201993,0.16268279222426765,0.10936608818572102,-1.216109690720808,0.35699337226973,0.34994948721779195,0.36590429145434955,0.42860367417109063,0.4203464038285731,0.4439419025418078,0.5854408779244268,0.575352614472145,0.6,0.7507407135731106,0.7450464664073635,0.7656866960789762,0.8604220437216188,0.8482893703978723,0.8698854480250527
ALL,CLEAN,T0,0.001012093726379397,0.0001671225158958183,0.0009977324263038,0.00018140589569160003,9.070294784580013e-05,0.5299247768480259,0.3145907504847614,0.0008163265306122,0.0008163265306122,0.0008390022675736,0.000907029478458,0.0008843537414965,0.000907029478458,0.0009977324263038,0.0009977324263038,0.0010204081632653,0.0010884353741496,0.0010884353741496,0.0010884353741496,0.0012244897959183,0.0012018140589569,0.0012471655328798
ALL,CLEAN,Tp,0.000595777884484003,0.0002730456043950448,0.0005635339146688,0.00034123188036720004,0.00016430317288780008,0.8426869290279075,0.5853182506220853,0.0002721088435374,0.00027046146485528,0.00029429482041548995,0.0003865622792956,0.0003817101661270125,0.00040268037387142247,0.0005635339146688,0.0005541973929151,0.0005727062011596,0.0007277941596628,0.0007277516904177,0.0007278377680107525,0.0009310892379955,0.0009018635786074,0.0009574718028481
ALL,CLEAN,Te,0.0010315004032449705,0.0004562202122574949,0.0009990964714930999,0.0005426454175122502,0.00026387837759529986,0.7442816734569316,0.7084067548019894,0.0004761904761904,0.0004761753930527116,0.0004988662131519,0.00070294784696395,0.0006802721088435,0.000748288143739865,0.0009990964714930999,0.0009938995633554163,0.0010202560666609248,0.0012455932644762002,0.0012244366699728439,0.0012693057462313,0.0015442968678369376,0.001500654993327292,0.0015974775605439803
ALL,CLEAN,Tc,0.0015418784576756953,0.0005342580356205139,0.0014772981715375,0.0006224138541358999,0.00030956803559235,0.8411081782633991,1.1027754525963562,0.001014034139590275,0.0009921826409086435,0.001027210107462706,0.00119164272757645,0.0011670921229562307,0.0012104478842567968,0.0014772981715375,0.0014548206909501074,0.0015055927082760026,0.0018140565817123498,0.0017802276875927875,0.0018535701582567826,0.002109998437080875,0.0020634783812074225,0.0021541833978329277
ALL,CLEAN,Ta,0.05493567070130496,0.0251612863755548,0.0467739081152923,0.03124840541927755,0.012456237671873899,1.0068198031403548,0.08249710487500872,0.03182594190009332,0.03128379659774189,0.03237635630410087,0.036885967492251454,0.036351305938172894,0.0375407988479547,0.0467739081152923,0.0458335699767241,0.0469174809949132,0.068134372911529,0.06568776164841125,0.07184545949241283,0.09169836428729197,0.08918130624865392,0.0936825872614597
ALL,CLEAN,pv_cents_T0,1700.596688141364,1387.0355304301022,1698.044999134613,2651.3440387547403,1362.1914999379626,0.22790329745542032,-1.3857437101509724,82.45530010081754,78.70600995309226,98.29221911899634,260.1736668877781,226.48734828187628,302.9695029915194,1698.044999134613,1490.6533769623788,1853.184619468572,2911.517705642518,2835.08409526165,2990.223715595609,3504.678639006714,3429.5771941530866,3566.3100386694387
ALL,CLEAN,vibrato_cents_from_T0,72.12079642708247,26.693052327564928,76.35141999772166,44.8284060445427,22.7495185337889,-0.1087237264423865,-1.1360816854480598,38.94343985814254,34.50826097054528,41.79781470419165,47.69438699493821,44.47535114156045,52.823287106404,76.35141999772166,71.80443063568754,80.28220544109273,92.52279303948092,89.96768034055178,97.65499762106089,106.23680732771196,101.65961053899554,109.52488485986456
