base,egg,audio,cluster,weight,mu_x,mu_y,cov_xx,cov_xy,cov_yy
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,f0_hz,0,0.26492399954559176,321.0088467827599,0.5437126867941751,22.16492296139473,0.03117172696315576,0.04813745271705154
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,f0_hz,1,0.486241072857817,250.85021237277346,0.5193548114390434,70.05267468863619,-0.030156569763166042,0.03053703407672519
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,f0_hz,2,0.14343508884423692,213.98741521133218,0.48310043196960933,32.74523943444919,-0.08954198849409645,0.03449732510915016
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,f0_hz,3,0.10539983875235451,288.8681198591933,0.5222890986321227,90.52814506564901,0.25093510407184827,0.04411702865714387
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,0,0.4173279109340977,5446.637660791479,0.4763105342334322,263135.9769696781,-4.525239620583378,0.005824390974978194
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,1,0.17164538836001234,6324.798869355428,0.5117871043752992,150068.85398765223,-3.5871153576100148,0.04630901202448546
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,2,0.3324952039038879,5358.841292917272,0.5934157215390103,218644.46386709405,-2.678319815902104,0.06090290868915332
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_bandwidth_hz,3,0.07853149680200204,7343.299345750181,0.47096342401377334,77307.21293881655,5.655114336130595,0.05253640773145744
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_centroid_hz,0,0.6732021690809599,2999.907409178757,0.5226170264635571,178346.22592970115,-6.946820566744764,0.03391945779874271
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_centroid_hz,1,0.08646494400560724,6753.073022410172,0.5143977075127736,3090643.4869454396,-83.15761275376504,0.055854423568922756
merged_pre_id4-id5-id6-id8_solo_segALL_CLEAN,Oq,spec_centroid_hz,2,0.2403328869134329,4135.819929821558,0.5185001406388562,448900.24264224595,-38.36449535553956,0.0410773219948457
